Sku,Title,Price,Regular Price,images,Primary,Sub Categories,Sub Sub categories,,,
26-3110,10 Inch Stainless Steel Peeler with Wooden Long Handle and Knife Edge,86,90,https://fixit.com.bd/wp-content/uploads/2019/12/26-3110A.jpg,Kitchen,Cooking and Food Preparation,Graters and Peelers,,,
26-3826,120 Pcs Camphor Balls Naphthalene Ball Packet Daisy,86,90,https://fixit.com.bd/wp-content/uploads/2019/12/26-3826A.jpg,Lawn and Garden,Insect and Pest Control,Home and Perimeter Insect Control,,,
09-023,3 Meter Measuring Tape HMBR Brand,81,81,https://fixit.com.bd/wp-content/uploads/2019/12/09-023-web-600x600.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,,
20-1306,White & Pink Color LED Dim Light Cute Piglet Snout Model LED-413,89,94,https://fixit.com.bd/wp-content/uploads/2019/12/20-1306A.jpg,Electrical,Fan Regulators and Dimmers,Dim Lights,,,
26-2121,Multi-Color Red Color Thick Cotton Traditional Kitchen Apron,103,103,https://fixit.com.bd/wp-content/uploads/2019/12/26-2121-web-600x600.jpg,Kitchen,Kitchen Accessories,Kitchen Aprons,,,
26-2341,10 Inch Dark Mahogany Wooden Spoon,114,120,https://fixit.com.bd/wp-content/uploads/2019/12/26-2341A.jpg,Kitchen,Cooking and Food Preparation,Ladles and Spoons,,,
26-3478,350  ml Lavender Air Freshner Gel Ball,118,124,https://fixit.com.bd/wp-content/uploads/2019/12/26-3478A-1.jpg,Cleaning,Air Care,Air Fresheners,,,
26-3472,Stainless Steel Small Size BBQ Tray & Tong with Wooden Handle,119,125,https://fixit.com.bd/wp-content/uploads/2019/12/26-3472A.jpg,Kitchen,Small Appliances,Barbecue Accessories,,,
33-110,7mm x 15 Meter Nylon rope HMBR Brand,122,122,https://fixit.com.bd/wp-content/uploads/2019/12/33-110C.jpg,Tools and Hardware,Chain and Rope,Rope,,,
26-3760,2.5 Kg Weight Capacity 2 Pcs Packet White Color Suction Hook,143,150,https://fixit.com.bd/wp-content/uploads/2019/12/26-3760A.jpg,Storage and Organization,Home Storage Hooks,Hooks,,,
26-1634,500  ml Spray Savlon Anteseptic Hand Wash ACI Brand,143,143,https://fixit.com.bd/wp-content/uploads/2019/12/26-1634-600x600.jpg,Cleaning,Personal Care,Hand Soaps and Sanitizers,,,
26-3041,21cm Foam Mop Glass Wiper with Long Handle,159,167,https://fixit.com.bd/wp-content/uploads/2019/12/26-3041A.jpg,Cleaning,Cleaning Tools and Supplies,Mops and Mop Accessories,,,
26-2979,1 Pcs Packet 23AE 12V High Voltage Alkaline Battery,133,133,https://fixit.com.bd/wp-content/uploads/2019/12/26-2979A.jpg,Electrical,Batteries,Household Batteries,,,
02-050,25mm Rubber Mallet Hammer HMBR Brand,170,179,https://fixit.com.bd/wp-content/uploads/2019/12/02-050A.jpg,Tools and Hardware,Hand Tools,Hammers,,,
05-1409,128mm Antique Copper Color Furniture Handle Minimalist Design,174,183,https://fixit.com.bd/wp-content/uploads/2019/12/05-1409-web-600x600.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,,
06-306,3 Digit Red Color Combination Padlock Lock Changhao Brand,190,200,https://fixit.com.bd/wp-content/uploads/2019/12/06-306A.jpg,Tools and Hardware,Safety and Security,Pad Locks,,,
04-149,11 mm X 13 mm Angle Head Ratchet Wrench HMBR Brand,175,175,https://fixit.com.bd/wp-content/uploads/2019/12/04-149B.jpg,Tools and Hardware,Hand Tools,Sockets and Ratchets,,,
05-821,Antique Copper Color Stainless Steel Door Chain,189,189,https://fixit.com.bd/wp-content/uploads/2019/12/05-821A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Knobs,,,
26-3489,Pink Color Hair Comb,228,240,https://fixit.com.bd/wp-content/uploads/2019/12/26-3489A-1.jpg,Cleaning,Personal Care,Hair Combs,,,
09-183,10 Meter Black Color Measuring Tape HMBR Brand,217,217,https://fixit.com.bd/wp-content/uploads/2019/12/09-183A-1.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,,
04-150,14 mm X 17 mm Angle Head Ratchet Spanner,220,220,https://fixit.com.bd/wp-content/uploads/2019/12/04-150A.jpg,Tools and Hardware,Hand Tools,Sockets and Ratchets,,,
02-042,16 Oz Claw Hammer with Wooden Handle HMBR Brand,232,232,https://fixit.com.bd/wp-content/uploads/2019/12/02-042A.jpg,Tools and Hardware,Hand Tools,Hammers,,,
33-112,7mm x 30Meter Length Nylon rope HMBR Brand,237,237,https://fixit.com.bd/wp-content/uploads/2019/12/33-112A-1.jpg,Tools and Hardware,Chain and Rope,Rope,,,
26-2744,500  ml Car Seat Cleaner Spray Safety Brand,256,256,https://fixit.com.bd/wp-content/uploads/2019/12/26-2744A.jpg,Cleaning,Household Cleaners,Furniture and Upholstery Cleaners,,,
20-706,250v 2200w 10A White Color International Multi Plug,510,510,https://fixit.com.bd/wp-content/uploads/2019/12/20-706A.jpg,Electrical,Dimmers  Switches and Outlets,Plugs and Connectors|Electrical,Switches and Outlets,Plugs and Connectors,
05-1066,Single Lever Drawer Lock Taiwanese Armstrong Brand,285,300,https://fixit.com.bd/wp-content/uploads/2019/12/05-1066A.jpg,Tools and Hardware,Safety and Security,Drawer Locks,,,
01-540,10 Inch Metal Tin Cutter Black Color Handle HMBR Brand,288,288,https://fixit.com.bd/wp-content/uploads/2019/12/01-540-web.jpg,Tools and Hardware,Hand Tools,Snips and Sidecutters,,,
09-259,7.5 Meter x 25mm Stainless Steel Measuring Tape Red Color HMBR Brand,297,297,https://fixit.com.bd/wp-content/uploads/2019/12/09-259A.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,,
20-995,Off White Color Wireless Door Bell Jialutong Brand Easy Installation with Double Side Tape Long Range,358,358,https://fixit.com.bd/wp-content/uploads/2019/12/20-995A.jpg,Electrical,Door Bells and Intercoms,Door Bells,,,
03-081,18 Inch Wooden Handle PTFE Coating Triangular Teeth Hand Saw HMBR Brand,376,376,https://fixit.com.bd/wp-content/uploads/2019/12/03-081A-1.jpg,Tools and Hardware,Hand Tools,Hand Saws and Cutting Tools,,,
04-611,24 Pcs Rachet Screwdriver Set Feibao Brand,447,470,https://fixit.com.bd/wp-content/uploads/2019/12/04-611A.jpg,Tools and Hardware,Hand Tools,Sockets and Ratchets,,,
26-2849,450  ml Furniture Polish Botny Brand - Wood Polish,410,410,https://fixit.com.bd/wp-content/uploads/2019/12/26-2849-web-600x600.jpg,Cleaning,Household Cleaners,Furniture and Upholstery Cleaners,,,
26-4169,Windproof Travel Umbrella,470,470,https://fixit.com.bd/wp-content/uploads/2019/12/26-2331A.jpg,Tools and Hardware,Safety Gear and Equipment,Rain Gear,,,
26-2984,1 Pcs Packet 300mAh 9 Volts Rechargeable Battery Lalu Brand,330,330,https://fixit.com.bd/wp-content/uploads/2019/12/26-2984A.jpg,Electrical,Batteries,Household Batteries,,,
26-3159,500  ml Wood Floor Cleaner Johnson Pledge Brand,537,565,https://fixit.com.bd/wp-content/uploads/2019/12/26-3159A.jpg,Cleaning,Household Cleaners,Floor Cleaners,,,
26-014,6 Inch Stainless Steel Fruit Squeezer,525,525,https://fixit.com.bd/wp-content/uploads/2019/12/26-014-web-600x600.jpg,Kitchen,Small Appliances,Kitchen Accessories,,,
09-162,5 Meter or 10 Feet Measuring Tape Tazima Brand,600,600,https://fixit.com.bd/wp-content/uploads/2019/12/09-162A.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,,
27-023,1 Kg Fire Extinguisher,1378,1378,https://fixit.com.bd/wp-content/uploads/2019/12/27-023-web-600x600.jpg,Tools and Hardware,Safety and Security,Fire Extinguisher,,,
36-200,Yellow Retail Pricing Labeler Handheld Sticker Machine for fast Price Tagging,1000,1026,https://fixit.com.bd/wp-content/uploads/2019/12/36-200A-1.jpg,Storage and Organization,Office Supplies,Index Dividers &amp; Stamps,,,
09-179,Navy Blue Color Analog Bathroom Weight Scale,1568,1568,https://fixit.com.bd/wp-content/uploads/2019/12/09-179A-1.jpg,Bath and Faucets,Bathroom Accessories and Hardware,Weight Scale,,,
09-252,25-50mm Micrometer Wynn's Brand,1473,1550,https://fixit.com.bd/wp-content/uploads/2019/12/09-252A-1.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,,
18-283,30 m Orange Color Wall Mount Garden Hose Reel Heavy Duty With Brass Nozzle Spray Gun,6500,6500,https://fixit.com.bd/wp-content/uploads/2019/12/18-283A.jpg,Lawn and Garden,Watering and Irrigation,Spray Guns,,,
26-3506 A,Navy Blue Color Analog Bathroom Weight Scale,1378,1378,https://fixit.com.bd/wp-content/uploads/2019/12/09-179A-1.jpg,Bath and Faucets,Bathroom Accessories and Hardware,Weight Scale,,,
26-1200-3,500 ml Lavender Scented Fabric Freshener for Sofa  Carpet  Curtain & Sheets Zepto Brand,180,180,https://fixit.com.bd/wp-content/uploads/2019/12/lavender-scented-freshener.jpg,Cleaning,Household Cleaners,Cloth Cleaners|Cleaning,Household Cleaners,Furniture and Upholstery Cleaners,
21-170,Clear Magic Depoxi Glue for metals  stones  glass and rigid materials,307,307,https://fixit.com.bd/wp-content/uploads/2019/12/21-170.jpg,Paint,Duct Tape  Glues and Epoxy,Glues and Epoxy,,,
16-677,55mm M6 Royal Bolt HMBR Brand,20,20,https://fixit.com.bd/wp-content/uploads/2019/12/433-1768-Anchor-Bolt-6x55mm.jpg,Tools and Hardware,Screws  Nails and Anchors,Anchors,,,
Fixit-1569,2 Inch Black Color Plastic Scrapper HMBR Brand,18,18,https://fixit.com.bd/wp-content/uploads/2019/12/595-1569-Plastic-Scrapper-2in.jpg,Lawn and Garden,Garden Tools,Snow Shovels and Scrapers,,,
12-175,3 Inch Twisted Cup Wire Brush with Nut HMBR Brand,260,260,https://fixit.com.bd/wp-content/uploads/2019/12/285-1749-Cup-Brush-3in-Twisted.jpg,Tools and Hardware,Power Tool Accessories,Wheel Power Brushes,,,
fixit.com.bd-1751,3 Inch Crimped Cup Wire Brush with Nut HMBR Brand,140,140,https://fixit.com.bd/wp-content/uploads/2019/12/251-1751-Cup-Brush-3in-1.jpg,Tools and Hardware,Power Tool Accessories,Wheel Power Brushes,,,
20-573,15 Amp In 15 Amp Out 250V Multi Plug Round Pin Type,335,335,https://fixit.com.bd/wp-content/uploads/2019/12/20-573.jpg,Electrical,Dimmers  Switches and Outlets,Plugs and Connectors|Electrical,Switches and Outlets,Plugs and Connectors,
18-419,20 m Orange Color Wall Mount Garden Hose Reel Heavy Duty With Brass Nozzle Spray Gun,4275,4275,https://fixit.com.bd/wp-content/uploads/2019/12/18-283A.jpg,Lawn and Garden,Watering and Irrigation,Spray Guns,,,
26-4106,25 Inch X 18 Round Corner Non Slip Floor Door Mat DD020,276,276,https://fixit.com.bd/wp-content/uploads/2019/12/26-4106.jpg,Flooring and Area Rugs,Carpets and Rugs,Door Carpets,,,
19-848,180 cm x 180 cm Weighted Bottom Seam Water Proof & 100% Polyester Shower Curtain Udayan Brand,1535,1617,https://fixit.com.bd/wp-content/uploads/2019/12/IMG_3726.jpg,Bath and Faucets,Bathroom Accessories and Hardware,Shower Curtains,,,
40-348,Black Color Heavy Pet Dog belt,320,320,https://fixit.com.bd/wp-content/uploads/2019/12/40-348.jpg,Outdoor Living,Pet Supplies and Wildlife,Belts,,,
23-554,1.7Kw 110Bar 220V Compact Pressure Washer Makita Brand,30500,30500,https://fixit.com.bd/wp-content/uploads/2019/12/4-18.jpeg,Tools and Hardware,Power Tools,Pressure Washers,,,
20-1332,80 Ampere Copper Metal Cable Lugs,72,72,https://fixit.com.bd/wp-content/uploads/2019/12/20-1332a.jpg,Electrical,Electrical Tools and Accessories,Lugs and Connectors,,,
05-1755,62mm 2 Pcs Packet Single Coat Stainless Steel L Shaped Hook for hanging clothes,70,70,https://fixit.com.bd/wp-content/uploads/2019/12/05-1755b.jpg,Storage and Organization,Home Storage Hooks,Hooks,,,
21-202,50ml Tube PVC Strong Solvent Cement PV-Seal Brand to Seal Pipe Fitting Bonds,45,45,https://fixit.com.bd/wp-content/uploads/2019/12/IMG_4560.jpg,Building Materials,Raw Building Materials,Cement,,,
26-2210 a,1 Liter Lavender Scented Floor Cleaner Goodmaid Brand,300,300,https://fixit.com.bd/wp-content/uploads/2019/12/lavender.jpg,Cleaning,Household Cleaners,Floor Cleaners,,,
26-1743 A,1 Liter Lemon Bio Natural Skin Moisturizing Lemon Dishwashing Liquid Goodmaid Brand,335,335,https://fixit.com.bd/wp-content/uploads/2019/12/81NqIZC6h0L._SL1500_.jpg,Cleaning,Household Cleaners,Dishwasher Detergent and Soap,,,
26-1733 B,400ml Lemon Dishwashing Paste Goodmaid Brand,150,150,https://fixit.com.bd/wp-content/uploads/2019/12/712xTi-gUL._SL1500_.jpg,Cleaning,Household Cleaners,Dishwasher Detergent and Soap,,,
26-3756,(2 Kg Capacity) 2 Pcs Square Shape White Color Adhesive Picture Hook (Sticks to Wall),86,86,https://fixit.com.bd/wp-content/uploads/2019/12/IMG_4634.jpg,Tools and Hardware,Fasteners,Picture and Mirror Hanging,,,
26-4044 B,10g Violet Valley Bloom Favor Pocket Bathroom Fragrance Godrej Aer Brand,55,55,https://fixit.com.bd/wp-content/uploads/2019/12/10-pocket-bathroom-fragrance-bar-godrej-aer-original-imaevdxhdxtutyny.jpg,Cleaning,Household Cleaners,Bathroom Cleaners,,,
26-4044 C,10g Petal Crush Pink Favor Pocket Bathroom Fragrance Godrej Aer Brand,55,55,https://fixit.com.bd/wp-content/uploads/2019/12/41K70t8GxrL._SX466_.jpg,Cleaning,Household Cleaners,Bathroom Cleaners,,,
26-730 A,900 ml White Bathroom Cleaner Vixol Brand,250,250,https://fixit.com.bd/wp-content/uploads/2019/12/8850092010201.jpg,Cleaning,Household Cleaners,Bathroom Cleaners,,,
26-4208 a,200 ml Metal Polish Koby Brand,410,410,https://fixit.com.bd/wp-content/uploads/2019/12/IMG_4692.jpg,Cleaning,Cleaning Tools and Supplies,Metal Polish,,,
05-1456,Antique Brass Heavy Duty Tower Bolt (Chitkani),700,750,https://fixit.com.bd/wp-content/uploads/2019/12/05-1505.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),,,
09-222,24 Inch Stainless Steel Scale,130,130,https://fixit.com.bd/wp-content/uploads/2019/12/09-222.jpg,Storage and Organization,Office Supplies,Scale,,,
15-026,16 Inch Spirit Level Karigor Brand,92,92,https://fixit.com.bd/wp-content/uploads/2019/12/Spirit-Level-12-inch.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,,
15-027,18 Inch Spirit Level Karigor Brand,100,100,https://fixit.com.bd/wp-content/uploads/2019/12/Spirit-Level-12-inch.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,,
26-4164,Raincoat for Baby Yellow & Green with Cartoon,200,200,https://fixit.com.bd/wp-content/uploads/2019/12/26-2084A.jpg,Cleaning,Personal Care,Rain Coat,,,
fixit-79503,850W 220-240V 50/60Hz 0-2900rpm Hammer Drill Machine Tolsen Brand 79503,2635,3100,https://fixit.com.bd/wp-content/uploads/2019/12/79503.jpg,Tools and Hardware,Power Tools,Drill Machine,,,
fixit-79519,850W 230V 50Hz 12000rpm Angle Grinder Tolsen Brand 79519,2465,2900,https://fixit.com.bd/wp-content/uploads/2019/12/79519.jpg,Tools and Hardware,Power Tools,Angle Grinders,,,
fixit-31016,14 Inch 1.2mm Pruning Saw Tolsen Brand 31016,725,725,https://fixit.com.bd/wp-content/uploads/2019/12/31016-2.jpg,Tools and Hardware,Hand Tools,Hand Saws,,,
18-432,Stainless Steel Color 6 Inch Axe with 12 Inch Fiberglass Handle Hmbr Brand,525,580,https://fixit.com.bd/wp-content/uploads/2019/12/18-432.jpg,Tools and Hardware,Hand Tools,Axes and Meat Cleavers|Qurbani Specials,,,
26-3969,Nail Cutter Set,31,31,https://fixit.com.bd/wp-content/uploads/2019/12/26-3944A.jpg,Cleaning,Personal Care,Nail Care,,,
26-2453,1.5 V C size Uniross Alkaline Battery,105,105,https://fixit.com.bd/wp-content/uploads/2019/12/DURAMDMN1500B4x400.jpg,Electrical,Batteries,Household Batteries,,,
01-1548,300kg Fiber Hand Trolley Folding Truck,6500,6500,https://fixit.com.bd/wp-content/uploads/2019/12/fiber.jpeg,Building Materials,Industrial Trolley,,,,
27-066 C,Caution No Parking Floor Stand Up Sign for Office or Industry,1100,1100,https://fixit.com.bd/wp-content/uploads/2019/12/27-066nopark.jpg,Tools and Hardware,Safety and Security,Floor Signs,,,
20-641,220V 10W Sa mll Candle Clear Incandescent Bulb Screw In Install,19,19,https://fixit.com.bd/wp-content/uploads/2019/12/20-641A.jpg,Electrical,Light Bulbs,LED Light Bulbs,,,
36-100,Metal Antique Brass All Numbers for Numbering Doors & Walls,21,22,https://fixit.com.bd/wp-content/uploads/2019/12/36-100-600x600.jpg,Storage and Organization,Office Supplies,Number,,,
13-257,3.2mm Metal Drill Bit Wynn's Brand,23,24,https://fixit.com.bd/wp-content/uploads/2019/12/13-257A.jpg,Tools and Hardware,Power Tool Accessories,Drill Bits,,,
13-258,3mm Metal Drill Bit Wynn's Brand,23,24,https://fixit.com.bd/wp-content/uploads/2019/12/13-258A.jpg,Tools and Hardware,Power Tool Accessories,Drill Bits,,,
13-256,4mm Metal Drill Bit Wynn's Brand,48,48,https://fixit.com.bd/wp-content/uploads/2019/12/13-256A.jpg,Tools and Hardware,Power Tool Accessories,Drill Bits,,,
26-3140,2.5 Inch Blue Star Cute Face Adhesive Picture Hook (Sticks to Wall),38,40,https://fixit.com.bd/wp-content/uploads/2019/12/26-3140A.jpg,Tools and Hardware,Fasteners,Picture and Mirror Hanging,,,
36-359,Multi Color Mushroom Top Board Pin QIFEI Brand,38,40,https://fixit.com.bd/wp-content/uploads/2019/12/36-359A.jpg,Storage and Organization,Office Supplies,Pins,,,
01-009,4 Inch Star Head Screw Driver with Rubber Red Handle HMBR Brand,37,37,https://fixit.com.bd/wp-content/uploads/2019/12/01-009-web-600x600.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,,
26-2895,Plastic Oil Funnel great for Pouring Lubricant  Water into Car,48,50,https://fixit.com.bd/wp-content/uploads/2019/12/26-2895-web-600x600.jpg,Tools and Hardware,Automotive Shop Equipment,Funnels  Fluid Extractors and Siphons,,,
26-2073,20 Pcs Multi Color Cloth Clip 306,51,54,https://fixit.com.bd/wp-content/uploads/2019/12/26-2073A.jpg,Storage and Organization,Garages and Outdoor Storage,Canopy Accessories,,,
11-139,4 Inch 16 mm 13000 RPM Abrasive Disc Dewei Brand,105,105,https://fixit.com.bd/wp-content/uploads/2019/12/11-139A.jpg,Tools and Hardware,Power Tool Accessories,Saw Blades,,,
26-1410,Blue Transparent Plastic Round Funnel KINGLI Brand,54,57,https://fixit.com.bd/wp-content/uploads/2019/12/26-1410A.jpg,Kitchen,Small Appliances,Kitchen Accessories,,,
08-445,Empty Key Toyota for Making Duplicates,51,51,https://fixit.com.bd/wp-content/uploads/2019/12/08-445A-1.jpg,Tools and Hardware,Safety and Security,Keys,,,
26-2588,16 Pcs Packet Multi-Color Plastic Cloth Clip,57,60,https://fixit.com.bd/wp-content/uploads/2019/12/26-2588A.jpg,Storage and Organization,Garages and Outdoor Storage,Canopy Accessories,,,
36-370,Pure Type Ink Permanent Marker Pen,57,60,https://fixit.com.bd/wp-content/uploads/2019/12/36-370A.jpg,Storage and Organization,Office Supplies,Pens  Pencils and Markers,,,
36-368,Black Color Pure Type Permanent  Marker Pen,62,65,https://fixit.com.bd/wp-content/uploads/2019/12/36-368-web.jpg,Storage and Organization,Office Supplies,Pens  Pencils and Markers,,,
20-1368,White Color 3 Round Pin Single Inlet Switch Socket,67,71,https://fixit.com.bd/wp-content/uploads/2019/12/20-1368A.jpg,Electrical,Switches and Outlets,Sockets,,,
01-035,16mm Chuck Key HMBR Brand for Use with Drill Machine Chucks,70,73,https://fixit.com.bd/wp-content/uploads/2019/12/01-035-web-600x600.jpg,Tools and Hardware,Power Tool Accessories,Specialty Power Tool Accessories,,,
16-773,2.5 Inch (6 Pcs Packet) Stainless Steel Star Cap Screw,74,78,https://fixit.com.bd/wp-content/uploads/2019/12/16-773-web-600x600.jpg,Tools and Hardware,Screws  Nails and Anchors,,,,
26-1749,Pink Color Plastic Ice Making Box Fruit Shaped Ice Model JX-509,67,67,https://fixit.com.bd/wp-content/uploads/2019/12/26-1749A.jpg,Kitchen,Small Appliances,Ice Box,,,
26-3232,Stainless Steel Key Holder with Key Ring Rimei Brand A237,76,80,https://fixit.com.bd/wp-content/uploads/2019/12/26-3232A.jpg,Tools and Hardware,Keys and Accessories,,,,
26-3178,10 Inch Stainless Steel Scissor Tong with Plastic Handle,84,88,https://fixit.com.bd/wp-content/uploads/2019/12/26-3178A.jpg,Kitchen,Cooking and Food Preparation,Tongs and Forks,,,
26-1830,8 Inch Traditional Stainless Steel Tong,86,90,https://fixit.com.bd/wp-content/uploads/2019/12/26-1830-web.jpg,Kitchen,Cooking and Food Preparation,Tongs and Forks,,,
26-3046,Blue Color Plastic Handle Hand Brush,86,90,https://fixit.com.bd/wp-content/uploads/2019/12/26-3046A.jpg,Cleaning,Cleaning Tools and Supplies,Floor Brushes,,,
26-2892,Green Color Vegetable and Fruit Peeler Sharp Edge Light Weight Heavy Duty,89,94,https://fixit.com.bd/wp-content/uploads/2019/12/26-2892A.jpg,Kitchen,Cooking and Food Preparation,Graters and Peelers,,,
16-068,12Pcs Packet Wood Screw,82,82,https://fixit.com.bd/wp-content/uploads/2019/12/IMG_0711.jpg,Tools and Hardware,Screws  Nails and Anchors,,,,
20-1173,AC 250V 6 Ampere (2 Bulbs in 1) E-27 Screw In White Color Bulb Holder,89,89,https://fixit.com.bd/wp-content/uploads/2019/12/20-1173A.jpg,Electrical,Light Bulbs,LED Light Bulbs,,,
26-1797,4.5 Inch Stainless Steel Frying Basket Net with Black Lining - For French Fries,105,110,https://fixit.com.bd/wp-content/uploads/2019/12/26-1797A.jpg,Kitchen,Cooking and Food Preparation,Strainers,,,
26-1363,500  ml Dish Washing Liquid Freestone Brand,76,76,https://fixit.com.bd/wp-content/uploads/2019/12/26-1363A.jpg,Cleaning,Household Cleaners,Dishwasher Detergent and Soap,,,
26-2906,40 cm x 30 cm x 0.2 cm Thickness Pinkish Purple Color Magic Towel,150,150,https://fixit.com.bd/wp-content/uploads/2019/12/26-2906A.jpg,Kitchen,Tableware and Bar,Kitchen Towels,,,
12-210,5 Pcs Multi Color Foam Bath Sponge,95,95,https://fixit.com.bd/wp-content/uploads/2019/12/12-210A.jpg,Cleaning,Cleaning Tools and Supplies,Sponges and Scouring Pads,,,
09-011,10 Inch Stainless Steel Tri Square Diamond Brand,117,123,https://fixit.com.bd/wp-content/uploads/2019/12/09-011-web-600x600.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,,
40-024,12 Inch Multi-Color Pet Belt,105,105,https://fixit.com.bd/wp-content/uploads/2019/12/40-024A.jpg,Outdoor Living,Pet Supplies and Wildlife,Belts,,,
20-990,20 ft. 220 Volts Multi Cable Double 2 Flat Pin Inlets,152,152,https://fixit.com.bd/wp-content/uploads/2019/12/20-990-web-300x300.jpg,Electrical,Home Electronics,AV Cables and Connectors,,,
11-145,8 Inch Stainless Steel Flat File Feibao Brand,120,120,https://fixit.com.bd/wp-content/uploads/2019/12/11-145-web.jpg,Tools and Hardware,Hand Tools,Flat File,,,
20-1250,26 Watt E-27 Spiral Energy Saver Bulb Progress Brand with Screw In Install,134,141,https://fixit.com.bd/wp-content/uploads/2019/12/20-1250-web.jpg,Electrical,Light Bulbs,LED Light Bulbs,,,
14-218,8 Inch Combination Plier with Black &amp; Yellow Color Rubber Handle Heavy Duty Karigor Brand,124,124,https://fixit.com.bd/wp-content/uploads/2019/12/14-218-web-600x600.jpg,Tools and Hardware,Hand Tools,Pliers,,,
11-123,8 Inch Stainless Steel Half-Round File HMBR Brand,125,125,https://fixit.com.bd/wp-content/uploads/2019/12/11-123-web.jpg,Tools and Hardware,Hand Tools,Half Round File,,,
26-3172,10 Inch Stainless Steel Egg Beater,143,150,https://fixit.com.bd/wp-content/uploads/2019/12/26-3172A.jpg,Kitchen,Small Appliances,Kitchen Accessories,,,
26-3225,Pull Sign for Toilet & Room Door with Double Sided Adhesive Foam Tape,147,155,https://fixit.com.bd/wp-content/uploads/2019/12/26-3225A.jpg,Doors and Windows,Door Signs,,,,
20-1180,2 Pin Multi-Color Sensor System Night Lamp,171,171,https://fixit.com.bd/wp-content/uploads/2019/12/20-1180A.jpg,Electrical,Light Bulbs,LED Light Bulbs,,,
09-037,100 ml Pyrex Measuring Cylinder,130,130,https://fixit.com.bd/wp-content/uploads/2019/12/09-037A-1.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,,
26-3333,Steelness Steel Scissor Deri Brand,152,160,https://fixit.com.bd/wp-content/uploads/2019/12/26-3333A-1.jpg,Kitchen,Cooking and Food Preparation,Scissors,,,
26-2587,5 Pcs 6 Inch Multi-Color Seal Clip Yola Brand for Sealing Chips & Biscuit Packets,171,180,https://fixit.com.bd/wp-content/uploads/2019/12/26-2587A.jpg,Kitchen,Small Appliances,Kitchen Accessories,,,
05-931,Heavy Duty Rounded Design Glass Shelf Holder HMBR Brand,162,162,https://fixit.com.bd/wp-content/uploads/2019/12/05-931A.jpg,Bath and Faucets,Bathroom Accessories and Hardware,Bath Shelves,,,
26-3135,(2 Kg weight Capacity) White Color Aluminum Alloy Kitchen Hook Movable Hooks,178,187,https://fixit.com.bd/wp-content/uploads/2019/12/26-3135A.jpg,Storage and Organization,Home Storage Hooks,Hooks,,,
26-2252,Maroon Color Stainless Steel Bottle Opener with Corkscrew and Knife,162,162,https://fixit.com.bd/wp-content/uploads/2019/12/26-2252A.jpg,Kitchen,Cooking and Food Preparation,Can Openers,,,
20-1263,3W 220V 50Hz LED Bulb JHUO RUI Brand,165,165,https://fixit.com.bd/wp-content/uploads/2019/12/20-1263A.jpg,Electrical,Light Bulbs,LED Light Bulbs,,,
05-1578,2.5 Inch Aluminum Silver Furniture Doba Handle,181,190,https://fixit.com.bd/wp-content/uploads/2019/12/05-1578-web-600x600.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,,
06-220,3 Digit Silver Color Resettable Combination Pad Lock,166,166,https://fixit.com.bd/wp-content/uploads/2019/12/06-220A.jpg,Tools and Hardware,Safety and Security,,,,
06-205,40mm 4 Keys Vertical Open Iron Pad Lock HMBR Brand,170,170,https://fixit.com.bd/wp-content/uploads/2019/12/06-205-600x600.jpg,Tools and Hardware,Safety and Security,Pad Locks,,,
26-2084,Raincoat for Baby Yellow & Green with Cartoon,190,200,https://fixit.com.bd/wp-content/uploads/2019/12/26-2084A.jpg,Cleaning,Personal Care,Rain Coat,,,
01-996,3-28 mm Red Color Pipe Cutter HMBR Brand,204,204,https://fixit.com.bd/wp-content/uploads/2019/12/01-996A.jpg,Plumbing,Plumbing Tools,Pipe/Tube Cutting,,,
36-072,Blue Color Tape Dispenser for Clear Office Tape fro 4 Inch Tape with 1 Inch Thickness,257,257,https://fixit.com.bd/wp-content/uploads/2019/12/36-072-web-600x600.jpg,Storage and Organization,Office Supplies,Tape Dispenser,,,
06-309,60mm Stainless Steel Top Security Padlock Lock BAIHE Brand,428,428,https://fixit.com.bd/wp-content/uploads/2019/12/06-309A.jpg,Tools and Hardware,Safety and Security,Pad Locks,,,
26-1058,300  ml Sparkling orange Angelic Air Freshener ACI Brand,200,200,https://fixit.com.bd/wp-content/uploads/2019/12/26-1058A-1.jpg,Cleaning,Air Care,Air Fresheners,,,
