Sku,Title,Price,Regular Price,images,Primary,Sub Categories,Sub Sub categories,,,
21-222,280 ml Clear Color Silicone Caulking Sealant Dr. Fixit Brand,260,260,https://fixit.com.bd/wp-content/uploads/2019/12/dr-fixit-silicone-sealant.jpg,Paint,Duct Tape  Glues and Epoxy,Glues and Epoxy,,,
16-446,6mm 24pcs Plastic Royal Plug,19,19,https://fixit.com.bd/wp-content/uploads/2019/12/16-446A.jpg,Tools and Hardware,Screws  Nails and Anchors,Anchors,,,
16-881,Y- Type Stainless Steel Hook,31,32,https://fixit.com.bd/wp-content/uploads/2019/12/16-881A.jpg,Storage and Organization,Home Storage Hooks,Hooks,,,
18-412,1 Pc 30 cm Mini Black Plastic Garden Shovel,200,200,https://fixit.com.bd/wp-content/uploads/2019/12/18-298A.jpg,Lawn and Garden,Garden Tools,Shovels,,,
06-177,60mm 3 Keys Antique Brass Color Padlock HMBR Brand Fleur-de-lis Emblem Design,690,690,https://fixit.com.bd/wp-content/uploads/2019/12/06-177-600x600.jpg,Tools and Hardware,Safety and Security,Pad Locks,,,
30-520,400 ml Metallic Black Color Spray Paint Bosny Brand,275,275,https://fixit.com.bd/wp-content/uploads/2019/12/unnamed-file.jpg,Paint,Spray Paint,General Purpose,,,
30-528,400 ml Chrome Color Spray Paint Bosny Brand,356,356,https://fixit.com.bd/wp-content/uploads/2019/12/chrome.jpg,Paint,Spray Paint,General Purpose,,,
18-047,22 Teeth Green Color Plastic Hay Fork,300,300,https://fixit.com.bd/wp-content/uploads/2019/12/18-189A-1.jpg,Lawn and Garden,Garden Tools,Shovels,,,
05-514,Antique Brass Color Furniture Handle Victorian Design,40,40,https://fixit.com.bd/wp-content/uploads/2019/12/05-514-web-600x600.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,,
26-2083,Yellow Transparent Raincoat Universal Size,159,167,https://fixit.com.bd/wp-content/uploads/2019/12/26-2083A.jpg,Cleaning,Personal Care,Rain Coat,,,
01-957,60 Watt Soldering Gun Wynn's Brand,630,663,https://fixit.com.bd/wp-content/uploads/2019/12/01-957-web-600x600.jpg,Tools and Hardware,Welding &amp; Soldering,Soldering,,,
29-186,4 Inch Wide Super Strong Rubberized Waterproof Self-adhesive Flex Tape,1600,2150,https://fixit.com.bd/wp-content/uploads/2019/12/81ew9hKwF9L.jpg,Plumbing,Plumbing Accessories,Pipe Putty and Sealants,,,
08-833,Pad Lock Key for Making Duplicates,5,6,https://fixit.com.bd/wp-content/uploads/2019/12/08-833A-1.jpg,Tools and Hardware,Safety and Security,Keys,,,
21-161,100gm General Purpose Epoxy Compound M-Seal Brand 90 Minutes Setting Perfect for Tank Leakage,71,71,https://fixit.com.bd/wp-content/uploads/2019/12/21-161A-1.jpg,Plumbing,Plumbing Accessories,Pipe Putty and Sealants,,,
18-081,Yellow & Black Color Garden 3 Arm Sprinkler,241,254,https://fixit.com.bd/wp-content/uploads/2019/12/18-081A.jpg,Lawn and Garden,Watering and Irrigation,Pulsating Sprinklers,,,
26-153,1 Inch Blue Cloth Duct Tape (Bandages Sealing Walls  Electrical &amp; Plumbing Tasks),60,62,https://fixit.com.bd/wp-content/uploads/2019/12/26-153A.jpg,Storage and Organization,Office Supplies,Adhesives and Tape,,,
Fixit-0259,60mm Medium Size Magmet Catch HMBR Brand,15,15,https://fixit.com.bd/wp-content/uploads/2019/12/502-0259-Magnet-Catch-Middle-60mm.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Cabinet Latches,,,
05-1747,1.50 Inch X 1.50 Inch Stainless Steel L Shaped Angle Bracket,44,44,https://fixit.com.bd/wp-content/uploads/2019/12/05-1747.jpg,Building Materials,Builders Hardware,Corner Braces,,,
36-355,1.5 Inch Metal Paper Binder Clip,8,8,https://fixit.com.bd/wp-content/uploads/2019/12/36-355-web-600x600.jpg,Storage and Organization,Office Supplies,Office Fasteners,,,
