Sku,Title,,Regular,Sale,Cat,Sub Cat,Sub sub cat,Images
16-876,Stainless Steel L Shaped Hook,,38,38,Storage and Organization,Home Storage Hooks,,https://fixit.com.bd/wp-content/uploads/2020/01/16-876A.jpg
26-2976,1.5 Volts AA-Size Battery Chinese Brand,,24,25,Electrical,Batteries,Household Batteries,https://fixit.com.bd/wp-content/uploads/2020/01/26-2976.jpg
26-2978,1.55V AG3/392A Alkaline Battery TIAN QIU Brand,,24,25,Electrical,Batteries,Household Batteries,https://fixit.com.bd/wp-content/uploads/2020/01/26-2978A.jpg
11-142,9 Inch X 11 Inch 220 Grit White Sandpaper HMBR Brand,,25,25,Paint,Paint Supplies,Sandpaper Patching and Repairs,https://fixit.com.bd/wp-content/uploads/2020/01/11-142.jpg
26-3496,Stainless Steel Key Holder Blue Football Design,,25,30,Tools and Hardware,Keys and Accessories,,https://fixit.com.bd/wp-content/uploads/2020/01/26-3496A.jpg
16-472,2 Inch (12 Pcs Packet) Metal Star Screw MK Brand,,67,67,Tools and Hardware,Screws Nails and Anchors,,https://fixit.com.bd/wp-content/uploads/2020/01/16-472.jpg
20-457,2 Round Pin 10 Ampere 250V Round Plug MK Brand,,25,26,Electrical,Dimmers Switches and Outlets,Plugs and Connectors|Electrical,https://fixit.com.bd/wp-content/uploads/2020/01/20-457A.jpg
29-008,18mm x 0.17mm x 7 yards Electric Insulation Plastic Gum Tape,,26,27,Storage and Organization,Office Supplies,Adhesives and Tape,https://fixit.com.bd/wp-content/uploads/2020/01/29-008.jpg
29-042,2 Inch Clear Adhesive Tape for Carton Boxing (Scotch Type),,26,27,Storage and Organization,Office Supplies,Adhesives and Tape,https://fixit.com.bd/wp-content/uploads/2020/01/29-042.jpg
16-244,8mm X 20mm 4 Pcs Packet Nut & Bolt,,27,27,Tools and Hardware,Screws Nails and Anchors,Nuts,https://fixit.com.bd/wp-content/uploads/2020/01/16-244A.jpg
