Sku,Title,Short Description,Price,image,Product categories,Sub ,sub sub,,
20-999,5 Ampere 3 Round Pin Plug,,48,https://fixit.com.bd/wp-content/uploads/2020/01/20-999.jpg,Electrical,Dimmers Switches and Outlets,Plugs and Connectors|Electrical,Switches and Outlets,Plugs and Connectors
26-1863,1 Pcs Bath Sponge,,51,https://fixit.com.bd/wp-content/uploads/2020/01/26-1863A.jpg,Cleaning,Cleaning Tools and Supplies,Sponges and Scouring Pads,,
26-4190,Steel Wool Scrubber HMBR Brand,,17,https://fixit.com.bd/wp-content/uploads/2020/01/26-4190.jpg,Kitchen,Small Appliances,Scrubbers and Sponges,,
01-382,4 Inch Screw Driver (Star Head) with Handle,,48,https://fixit.com.bd/wp-content/uploads/2020/01/01-382.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
40-317,95g * 12 Packets Pet Dog Food Pottage Chicken MyFoodie Brand,,52,https://fixit.com.bd/wp-content/uploads/2020/01/40-317A.jpg,Outdoor Living,Pet Supplies and Wildlife,Pet Dog Feeding Supplies,,
12-112,Blue Color With Plastic Handle Shoe Cleaning Brush,,53,https://fixit.com.bd/wp-content/uploads/2020/01/12-112.jpg,Cleaning,Cleaning Tools and Supplies,Shoe Brushes,,
16-625,10mmx75mm 2 Pcs Packet Nut & Bolt,,54,https://fixit.com.bd/wp-content/uploads/2020/01/16-625A.jpg,Tools and Hardware,Screws Nails and Anchors,Nuts,,
09-022,2 Meter Measuring Tape HMBR Brand,,55,https://fixit.com.bd/wp-content/uploads/2020/01/09-022.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,
26-2075,20 Pcs Multi Color Plastic Cloth Clip,,55,https://fixit.com.bd/wp-content/uploads/2020/01/26-2075A.jpg,Storage and Organization,Garages and Outdoor Storage,Canopy Accessories,,
04-247,10mm Stainless Steel L Socket Wrench HMBR Brand,,51,https://fixit.com.bd/wp-content/uploads/2020/01/04-047A.jpg,Tools and Hardware,Hand Tools,Sockets and Ratchets,,
26-3357,300  ml Black Color Head Plastic Spray Bottle Mist Trigger - Garden/Kitchen,,90,https://fixit.com.bd/wp-content/uploads/2020/01/26-3357A.jpg,Cleaning,Cleaning Tools and Supplies,Spray Bottles,,
01-206,SK5 â€“ 100 x 18 x 0.5 mm 10 Pcs Refill only 4 Inch Anti Cutter Blade Deli Brand,,52,https://fixit.com.bd/wp-content/uploads/2020/01/01-206.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
06-310,2 Keys Golden Color Top Security Padlock Lock BAIHE Brand,,57,https://fixit.com.bd/wp-content/uploads/2020/01/06-310A.jpg,Tools and Hardware,Safety and Security,Pad Locks,,
26-2926,100 Pcs Packet Naphthalene Ball,,57,https://fixit.com.bd/wp-content/uploads/2020/01/26-2926.jpg,Lawn and Garden,Insect and Pest Control,Home and Perimeter Insect Control,,
26-3362,120 Pcs Camphor Balls Naphthalene Ball Packet Lavender,,57,https://fixit.com.bd/wp-content/uploads/2020/01/26-3362A.jpg,Lawn and Garden,Insect and Pest Control,Home and Perimeter Insect Control,,
36-357,Stainless Steel Al Pin QIFEI Brand,,38,https://fixit.com.bd/wp-content/uploads/2020/01/36-357A.jpg,Storage and Organization,Office Supplies,Pins,,
36-369,Black Color White Board Marker Pen,,57,https://fixit.com.bd/wp-content/uploads/2020/01/36-369A.jpg,Storage and Organization,Office Supplies,Pens Pencils and Markers,,
01-033,10mm Chuck Key HMBR Brand for Use with Drill Machine Chucks,,53,https://fixit.com.bd/wp-content/uploads/2020/01/01-033A.jpg,Tools and Hardware,Power Tool Accessories,Specialty Power Tool Accessories,,
