Sku,Title,Price,Regular Price,Sale Price,Product categories,sub,sub sub,pic
08-273,Stainless Steel Digital Door Handle Lock Lever Size 7 Inch x 3 Inch,13490,14200,13490,Tools and Hardware,Safety and Security,Door Locks,https://fixit.com.bd/wp-content/uploads/2020/01/08-273.jpg
08-1041,Stainless Steel Color Door Handle Lock,3990,4200,3990,Tools and Hardware,Safety and Security,Locks,https://fixit.com.bd/wp-content/uploads/2020/01/08-1041A.jpg
08-880,Antique Copper Color Stainless Steel Door Handle Lock Lever Size 5 Inch X 3 Inch Victorian Design,4344,4344,,Tools and Hardware,Safety and Security,Door Locks,https://fixit.com.bd/wp-content/uploads/2020/01/08-880.jpg
08-881,Antique Copper Color Stainless Steel Door Handle Lock Lever Size 7 Inch x 3 Inch Victorian Design,7125,7500,7125,Tools and Hardware,Safety and Security,Door Locks,https://fixit.com.bd/wp-content/uploads/2020/01/08-881.jpg
08-852,Stainless Steel Door Handle Lock Lever Size 7 Inch X 3 Inch ARCHIE Brand Minimalist Wave Design,5225,5225,,Tools and Hardware,Safety and Security,Door Locks,https://fixit.com.bd/wp-content/uploads/2020/01/08-852.jpg
08-782,Stainless Steel Door Handle Lock Lever Size 7 Inch x 3 Inch Zo Brand Victorian Design,5048,5048,,Tools and Hardware,Safety and Security,Door Locks,https://fixit.com.bd/wp-content/uploads/2020/01/08-782.jpg
,Plastic Handy Juicer,645,645,,Kitchen,Small Appliances,Kitchen Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/IMG_4665.jpg
01-986,6mm Hexagonal/LN key Douniushi Brand,87,90,87,Tools and Hardware,Hand Tools,Hex Keys,https://fixit.com.bd/wp-content/uploads/2020/01/01-985.jpg
26-3855,24 Inch Red Rubberized Plastic Commode Plunger  Manual Water Suction Pumper,130,130,,Plumbing,Plumbing Accessories,Hoses and Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-3170A.jpg
14-001,8 Inch Combination Plier with Rubber Handle HMBR Brand,250,250,,Tools and Hardware,Hand Tools,Pliers,https://fixit.com.bd/wp-content/uploads/2020/01/14-065.jpg
18-0099,800g 6 Inch Axe With 12 Inch Fiber Handle,1150,1150,,Tools and Hardware,Hand Tools,Axes and Meat Cleavers,https://fixit.com.bd/wp-content/uploads/2020/01/18-0099.jpg
05-1157-1,Antique Copper Color Furniture Knob (Copy),160,180,160,Tools and Hardware,Cabinet and Furniture Hardware,Knobs,https://fixit.com.bd/wp-content/uploads/2020/01/05-1157A.jpg
