SKU,Price,Product Description,Product Name,Image,Primary,Sub,Sub Sub,,
FIXIT-30005,36,Stainless caseWith flat push buttonPacking: display box,BLADE 9X80 mm Snap-Off Blade Knife Tolsen Brand 30005,https://fixit.com.bd/wp-content/uploads/2020/01/2d0ee369176608a9b7f06bcc5f369f0c823d0c65.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30015,232,ABS case + TPRSelf-lockWith 3pcs SK4 bladesPacking: blister card,BLADE 18x100mm Snap-Off Blade Knife Tolsen Brand 30015,https://fixit.com.bd/wp-content/uploads/2020/01/8dc983bc0a4e33ae1ce751aa2eb73ea83b64568d.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30003,189,ABS case+ TPRWith 3pcs bladesWith flat push buttonPacking: blister card,18x100mm Snap-Off Blade Knife Tolsen Brand 30003,https://fixit.com.bd/wp-content/uploads/2020/01/64e3941ad59fbc59d2bcc54fffb7d6405e8e0999.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30004,26,ABS caseWith flat push buttonPacking: OPP bag,BLADE 9X80 mm Snap-Off Blade Knife Tolsen Brand 30004,https://fixit.com.bd/wp-content/uploads/2020/01/,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-35044,189,100mm 13blattChrome plated casePolishing finishedPacking: color box,SIZE.-0.05-1.00mm Feeler Gauges Tolsen Brand 35044,https://fixit.com.bd/wp-content/uploads/2020/01/49fe09aa1a3d18e29fe91f2b985082bd1221ad06.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,
FIXIT-32046,276,Flat Flat Warding Square TriangularRound Half roundAlloy steelTwo-component plastic handlePacking: blister card,3x100mm 6Pcs Needle Files Set Tolsen Brand 32046,https://fixit.com.bd/wp-content/uploads/2020/01/f37090a566ddb28d6b983389a996ec7f2d972280.jpg,Tools and Hardware,Hand Tools,Files,,
FIXIT-20029,464,CrVTransparent PVC handleMagnetic tipPacking: double blister ,3X75- 5X100-6X150; PH0x75- PH1x100- PH2x150 6Pcs Screwdrivers Set Tolsen Brand 20029,https://fixit.com.bd/wp-content/uploads/2020/01/3a6f7363b3f196bd00d4166283a8e20f42a4d14c.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-20015,435,CrVTwo-component comfortable gripBlack finish magnetic tipPacking: double blister ,NA 4Pcs Screwdriver Set Tolsen Brand 20015,https://fixit.com.bd/wp-content/uploads/2020/01/a70d95bff01b25c8cf705681bbbb8caf1be97b7e.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-20014,580,CrVTwo-component comfortable gripBlack finish magnetic tipPacking: double blister ,5.5X100- 6.5X150;PH1x100- PH2x150;PZ1x100- PZ2x150 6Pcs Screwdrivers Set Tolsen Brand 20014,https://fixit.com.bd/wp-content/uploads/2020/01/decb92a7f881546900c236f5e2bf558d524fe0e7.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-20030,580,CrVErgonomic comfort-grip handlePacking: plastic box ,2X5- 2.5X50- 3.0X50; PH000x50- PH00x50- PH0x50 6Pcs Precision Screwdriver Set Tolsen Brand 20030,https://fixit.com.bd/wp-content/uploads/2020/01/6acf59437e49611533cfda5852e7c9f1a4227dce.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-31018,334,Fine polishedDipped handlePacking: blister card,"200mm 8"" Bypass Pattern Pruning Shear Tolsen Brand 31018",https://fixit.com.bd/wp-content/uploads/2020/01/c9eca41d7bff870d1eecd7b95b7c3d48f1fc0cb0.jpg,Lawn and Garden,Garden Tools,Pruning Tools,,
FIXIT-31019,334,Fine polishedDipped handlePacking: blister card,"200mm- 8"" Straight Pruning Shear Tolsen Brand 31019",https://fixit.com.bd/wp-content/uploads/2020/01/568795d7d23a0142ebb3b33e310e26851c29d9e1.jpg,Lawn and Garden,Garden Tools,Pruning Tools,,
FIXIT-30007,334,Aluminium handleWith 5pcs SK5 bladesPacking: double blister,BLADE 61X19 mm Utility Knife Tolsen Brand 30007,https://fixit.com.bd/wp-content/uploads/2020/01/0a8716c20d1c3290bacb9de2126c88f1e4710830.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30008,232,Aluminium alloy bodyMaterial of blade:SK5Packing: double blister,BLADE 61X19 mm Utility Knife Tolsen Brand 30008,https://fixit.com.bd/wp-content/uploads/2020/01/6410787358642203c71d78ecc283e3d117a8fcf1.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30005,36,Stainless caseWith flat push buttonPacking: display box,BLADE 9X80 mm Snap-Off Blade Knife Tolsen Brand 30005,https://fixit.com.bd/wp-content/uploads/2020/01/2d0ee369176608a9b7f06bcc5f369f0c823d0c65.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30015,232,ABS case + TPRSelf-lockWith 3pcs SK4 bladesPacking: blister card,BLADE 18x100mm Snap-Off Blade Knife Tolsen Brand 30015,https://fixit.com.bd/wp-content/uploads/2020/01/8dc983bc0a4e33ae1ce751aa2eb73ea83b64568d.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30003,189,ABS case+ TPRWith 3pcs bladesWith flat push buttonPacking: blister card,18x100mm Snap-Off Blade Knife Tolsen Brand 30003,https://fixit.com.bd/wp-content/uploads/2020/01/64e3941ad59fbc59d2bcc54fffb7d6405e8e0999.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30004,26,ABS caseWith flat push buttonPacking: OPP bag,BLADE 9X80 mm Snap-Off Blade Knife Tolsen Brand 30004,https://fixit.com.bd/wp-content/uploads/2020/01/35aa8bef7a2707aa9ed7b75004a16ce84f431740.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-30001,73,ABS caseWith flat push buttonPacking: label+display box,18X100 mm Snap-Off Blade Knife Tolsen Brand 30001,https://fixit.com.bd/wp-content/uploads/2020/01/375831b4e594b3e27fd088808919cf2d206f4f50.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-32025,276,Half round#45 carbon steelTwo-component plastic handlePacking: blister card,"200mm- 8"" Wood Files Tolsen Brand 32025",https://fixit.com.bd/wp-content/uploads/2020/01/618dcc59064f48c51227059378e613a531e31e19.jpg,Tools and Hardware,Hand Tools,Files,,
FIXIT-32001,232,FlatT12 carbon steelTwo-component plastic handlePacking: blister card,"200mm- 8"" Steel Files Tolsen Brand 32001",https://fixit.com.bd/wp-content/uploads/2020/01/67bea5692076213196aeb9466eb65ad81f947922.jpg,Tools and Hardware,Hand Tools,Files,,
FIXIT-32013,247,TriangularT12 carbon steelTwo-component plastic handlePacking: blister card,"200mm- 8"" Steel Files Tolsen Brand 32013",https://fixit.com.bd/wp-content/uploads/2020/01/640e478dc36680253abaad68d62f2aad955ab1e6.jpg,Tools and Hardware,Hand Tools,Files,,
FIXIT-32009,276,RoundT12 carbon steelTwo-component plastic handlePacking: blister card,"200mm- 8"" Steel Files Tolsen Brand 32009",https://fixit.com.bd/wp-content/uploads/2020/01/7d0096b7b91e2ab94fd85e7f92646f7b2dd16c03.jpg,Tools and Hardware,Hand Tools,Files,,
FIXIT-33011,5365,BSPTBlack finish1 ratcheting pipe threading system with 2 extension barsPacking: color box,"1/4""- 3/8""- 1/2""- 3/4""- 1""- 1-1/4"" 9Pcs Pipe Threading Set Tolsen Brand 33011",https://fixit.com.bd/wp-content/uploads/2020/01/b01b3520d3bf83d057f255ec3c003ad6ce493d9f.jpg,Plumbing,Plumbing Tools,Pipe/Tube Cutting,,
FIXIT-33006,1160,Aluminium alloy bodyPacking: blister card,6-64mm Pipe Cutter Tolsen Brand 33006,https://fixit.com.bd/wp-content/uploads/2020/01/96de2d4d38df192688e9ad6e40e6993442189c7e.jpg,Plumbing,Plumbing Tools,Pipe/Tube Cutting,,
FIXIT-33005,580,Zinc alloy bodyPacking: blister card,3-32 mm Pipe Cutter Tolsen Brand 33005,https://fixit.com.bd/wp-content/uploads/2020/01/fd9843c2e85c78e684ead9721122ca89b0a9e2b2.jpg,Plumbing,Plumbing Tools,Pipe/Tube Cutting,,
FIXIT-33004,319,Aluminium alloy bodyPacking: blister card,3-28 mm Pipe Cutter Tolsen Brand 33004,https://fixit.com.bd/wp-content/uploads/2020/01/5d9efc823937b73eb61e506881a2d1ece2dd4fc0.jpg,Plumbing,Plumbing Tools,Pipe/Tube Cutting,,
FIXIT-33003,261,Aluminium alloy bodyPacking: blister card,3-22 mm Pipe Cutter Tolsen Brand 33003,https://fixit.com.bd/wp-content/uploads/2020/01/b6e75f52ad641dbec11f432ebef4923704ae0271.jpg,Plumbing,Plumbing Tools,Pipe/Tube Cutting,,
FIXIT-33000,508,Aluminium alloy body65Mn bladePacking: blister card,"200mm- 8"" Pvc Pipe Cutter Tolsen Brand 33000",https://fixit.com.bd/wp-content/uploads/2020/01/b255fd668630923b31707cb01226c32dd9e71eda.jpg,Plumbing,Plumbing Tools,Pipe/Tube Cutting,,
FIXIT-38041,508,With bend headSpecial stianless steelThickness:3mmFine polished wooden handlePacking: blister card,195mm Electrician's Knife Tolsen Brand 38041,https://fixit.com.bd/wp-content/uploads/2020/01/a612078424c2c52d629fc371406c9ce0157de1e6.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
FIXIT-38022,508,Heavy dutyDrop forged carbon steelDipped handlePacking: blister card,"250mm- 10"" Cable Cutter Tolsen Brand 38022",https://fixit.com.bd/wp-content/uploads/2020/01/f9edda08b44233e66666d84b0bb411ea126fdfc6.jpg,Electrical,Electrical Tools and Accessories,Cable Cutter,,
FIXIT-38016,1740,VDE/GS certificated4pcs Slotted: 1.2X6.5x100mm1X5.5x100mm0.8x4x100mmx0.5x3x100mm2pcs Phillips:PH2x100mmPH1x80mm2pcs Pozidriv:PZ2x100mm PZ1x80mm3pcs Torx: T20x100mmT15x100mmT10x100mm1Pc single-pole voltage tester1Pc screwdriver handlePacking: color box ,NA 13Pcs Vde Insulated Screwdriver Set Tolsen Brand 38016,https://fixit.com.bd/wp-content/uploads/2020/01/20b413faac3e2371b2eb717793662cfa1bdd723c.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-38013,798,CrV1000V VDE CertificationPacking: color box ,3X75- 4X100- 5.5X100; PH1x80- PH2X100;3X140mm 6Pcs Vde Screwdriver Set Tolsen Brand 38013,https://fixit.com.bd/wp-content/uploads/2020/01/4cb3357e50fd5dbfc04dd950090d867121c45c79.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
FIXIT-38015,73,Test Voltage:AC 100-500VCE certificatedPacking: plastic hanger with color box ,4x190mm Voltage Tester Tolsen Brand 38015,https://fixit.com.bd/wp-content/uploads/2020/01/f96c28ef1d59af9e46c05497b07addb7d0748fe5.jpg,Electrical,Electrical Tools and Accessories,Electrical Test Meterware,,
FIXIT-38014,51,Test Voltage:AC 100-500VCE certificatedPacking: plastic hanger with color box ,3X140mm Voltage Tester Tolsen Brand 38014,https://fixit.com.bd/wp-content/uploads/2020/01/a05c8bfad4b719b52248a08d03a68a85bc229097.jpg,Electrical,Electrical Tools and Accessories,Electrical Test Meterware,,
FIXIT-45054,174,EN149:2001+A1:2009 approvalFFP1 NRRubber beltMetal noseAdjustable nose clip offers a secure fit and reduces foggingDisposable lightweight comfortable wear and economicalSuggested applications for grinding sanding and sweeping jobsPacking: paper hanger,NA 3Pcs Dust Mask Set Tolsen Brand 45054,https://fixit.com.bd/wp-content/uploads/2020/01/01dba544a9d048a362dfb6ec93a90bc8b7ef78d6.jpg,Tools and Hardware,Safety and Security,Respiratory Masks,,
FIXIT-45086,435,Impacted resistant shellAnti wearMoveable type glassPacking: polybag with color sticker,108x50x3mm Welding Mask Tolsen Brand 45086,https://fixit.com.bd/wp-content/uploads/2020/01/e4521f5399bc082131dfaeeedae940a12408a9f1.jpg,Tools and Hardware,Safety and Security,Respiratory Masks,,
FIXIT-45085,174,Impacted resistant shellPacking: polybag with color sticker,GLASS 108x50x3mm Welding Mask Tolsen Brand 45085,https://fixit.com.bd/wp-content/uploads/2020/01/90ab678517e907c156757bba9b5eaf48f241aaf0.jpg,Tools and Hardware,Safety and Security,Respiratory Masks,,
FIXIT-45075,261,Flip design with open-close locking positionSoft and light weight PVC frameColored inorganic outer glass lensTransparent clear inner glass lensPacking: poly bag with paper hanger,SIZE Welding Goggle Tolsen Brand 45075,https://fixit.com.bd/wp-content/uploads/2020/01/4c50ecee0d5af810ed58ca87ece800fbf71f6496.jpg,Tools and Hardware,Safety Gear and Equipment,Safety Gear,,
FIXIT-79017,2465,Voltage: DC 14.4VPower: Li-ion 1300mAhSuitable for TOLSEN 79016,NA Li-Ion Battery Pack Tolsen Brand 79017,https://fixit.com.bd/wp-content/uploads/2020/01/5829dcb065d0bbbb52043124a06a984280fa916d.jpg,Tools and Hardware,Power Tools,Drill Machine,,
FIXIT-79016,8410,Voltage: DC 14.4VPower: Li-ion 1300mAh 2pcsNo-load speed: 0-350/0-1250rpmClutch: 25+1 setting ringsTorque:≥22NmChuck:10mm keyless chuckSwitch: forward and reverseCharger: AC 100-240V 50-60Hz EuroplugCharge time: 1hour fast chargerMotor brake3 lever LED battery power indicator and one power LightSoft grip handleCE/GS/EMCIncluding 13pcs accessories6pcs twist drill bits : 1.5 2.5 3.0 4.0 5.0 6.0mm6pcs 25mm bits : 5mm6mmPH1PH2PZ1PZ21pc screwdriver bit holder 1/4″x60mm with strong magneticPacking: blow mould case ,14.4V Li-Ion Cordless Drill Tolsen Brand 79016,https://fixit.com.bd/wp-content/uploads/2020/01/cb6433aaf4c0eb372436e8ac037c98d39cd47e3b.jpg,Tools and Hardware,Power Tools,Drill Machine,,
FIXIT-79013,4350,Voltage: DC 10.8VPower: Li-ion 1x1300mAhNo-load speed: 0-550rpmClutch: 19+1 setting ringsTorque: ≥15NmChuck: 10mm keyless chuckSwitch: forward and reverseCharger: AC 100-240V 50-60Hz EuroplugCharge time: 3-5hours3 lever LED battery power indicator and one power LightSoft grip handleCE/GS/EMCPacking: color box ,10.8V Li-Ion Cordless Drill Tolsen Brand 79013,https://fixit.com.bd/wp-content/uploads/2020/01/29ee3ddb2629bbb86c8ad2d2f9def400cf2db491.jpg,Tools and Hardware,Power Tools,Drill Machine,,
FIXIT-79014,1885,Voltage: DC 10.8VPower: Li-ion 1300mAhSuitable for TOLSEN 79013,NA Li-Ion Battery Pack Tolsen Brand 79014,https://fixit.com.bd/wp-content/uploads/2020/01/2c27ed11f71b5b04854193084897eab538e1ae73.jpg,Tools and Hardware,Power Tools,Drill Machine,,
