Sku,Title,Short Description,Sku,Price,Regular Price,,images,Product categories,sub,sub sub,,
26-3459,2 Pcs Dish & Plate Cleaning Sponge,,26-3459,86,90,26-3459.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3459.jpg,Cleaning,Cleaning Tools and Supplies,Sponges and Scouring Pads,,
36-380,Stainless Steel Toilet Symbol for Men & Women with Double Sided Adhesive Foam Tape,,36-380,86,90,36-380A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/36-380A.jpg,Doors and Windows,Door Signs,,,
20-885,16 Ampere White Color 3 Inlet 2 Round Pin Transfer Plug,,20-885,105,105,20-885A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-885A.jpg,Electrical,Switches and Outlets,Sockets,,
05-136,10 Inch Heavy-Duty Decorative Single Slot Shelf Bracket,"Common wall-fixed systems comprise parallel metal strips (attached to the wall by screws) which have slots into which brackets can be fitted to hold shelves. Free-standing shelf frames are also usually manufactured from metal (usually steel) though the shelves may be made of wood.

Features:

Lengths: 10"" 
Finishes: anochrome
Material: Gauge steel 
No weight rating available. bracket has three engagement teeth to secure bracket to standard for wider shelves . also comes with stabilizing lock lever to reinforce bracket attachment to standard. 

Application:

It allows more flexible use of shelves to hold items of value for storage display or sale.",05-136,143,143,05-136A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-136A.jpg,Building Materials,Builders Hardware,Corner Braces,,
01-750,6 Inch Flat Head Screw Driver with Multi-color Handle,,01-750,105,105,01-750.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/01-750.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
04-180,15mm Stainless Steel Combination Wrench Maxtop Brand,,04-180,82,82,04-180A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/04-180A.jpg,Tools and Hardware,Hand Tools,Wrenches,,
26-3173,Traditional Stainless Steel Egg Beater,,26-3173,90,95,26-3173A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3173A.jpg,Kitchen,Cooking and Food Preparation,Bakeware,,
01-1180,1.50 Inch Iron Planer Karigor Brand,,01-1180,90,94,01-1180.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/01-1180.jpg,Tools and Hardware,Hand Tools,Planes,,
38-224,16 Inch Rubber &amp; Plastic Hand Saw HMBR Brand (Old Model) (Damage Product),,38-224,82,82,38-224C.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/38-224C.jpg,Tools and Hardware,Hand Tools,Hand Saws and Cutting Tools,,
20-1249,220V 50/60Hz 20W E-27 Spiral Energy Saving Bulb RSR Brand Screw In Install,,20-1249,93,98,20-1249A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-1249A.jpg,Electrical,Light Bulbs,LED Light Bulbs,,
14-219,6 Inch Cutting Plier with Black &amp; Yellow Color Rubber Handle Karigor Brand,,14-219,83,83,14-219.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/14-219.jpg,Tools and Hardware,Hand Tools,Pliers,,
26-3494,Antique Brass Medieval Design Key Holder,,26-3494,94,98,26-3494A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3494A.jpg,Tools and Hardware,Keys and Accessories,,,
01-1179,1.75 Inch Iron Planer Karigor Brand,,01-1179,95,100,01-1179.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/01-1179.jpg,Tools and Hardware,Hand Tools,Planes,,
04-562,11mm Stainless Steel T Socket Wrench,,04-562,95,100,04-562A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/04-562A.jpg,Tools and Hardware,Hand Tools,Sockets and Ratchets,,
05-1357,128mm Stainless Steel Furniture Handle,,05-1357,171,171,05-1357A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1357A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
19-014,6 Inch Plastic Water Nozzle HMBR Brand,,19-014,86,86,19-014.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/19-014.jpg,Lawn and Garden,Watering and Irrigation,Spray Guns,,
19-1244,120 cm Flexible Steel Shower Pipe,,19-1244,238,238,19-1244A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/19-1244A.jpg,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,,
25-135,Auto Closer 3 Inch Conceal Hinge HMBR brand,,25-135,147,147,25-135.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/25-135.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Hinges,,
29-075,1.5 Inch Polymer Adhesive Tape for Carton Boxing (Scotch Type) (Heavy Duty),,29-075,86,86,29-075.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/29-075.jpg,Storage and Organization,Office Supplies,Adhesives and Tape,,
05-1218,4 Inch Antique Copper Tower Bolt (Chitkani) HMBR Brand Minimalist Design,,05-1218,98,104,05-1218.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1218.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),,
20-550,220V White Color 3 Gang Switch,,20-550,105,105,20-550A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-550A.jpg,Electrical,Switches and Outlets,Switches,,
01-458,Heavy Duty Blackl &amp; Orange Anti Cutter HMBR Brand,,01-458,107,107,01-458A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/01-458A.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
