Sku,Title,Price,Regular Price,Primary,Sub,Sub Sub,img
20-560,8 Inch (50 Pcs Packet) White Color Cable Tie,37,37,Electrical,Electrical Tools and Accessories,Cable Tie,https://fixit.com.bd/wp-content/uploads/2020/01/20-560-web.jpg
16-357,20mm 5Pcs Packet Button Head Socket Cap Screw LN Screw,27,27,Tools and Hardware,Screws Nails and Anchors,,https://fixit.com.bd/wp-content/uploads/2020/01/16-357A.jpg
26-1682,4 Pcs Packet Kitchen Mitt (Lusnee),33,33,Kitchen,Small Appliances,Kitchen Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-1682.jpg
26-403,Robin Rosin (Rozon) Box Model KC-240 for Soldering Use,27,29,Tools and Hardware,Welding &amp; Soldering,Soldering,https://fixit.com.bd/wp-content/uploads/2020/01/26-403-web.jpg
01-666,3 Inch Black Color Plastic Wall Scraper,27,27,Lawn and Garden,Garden Tools,Snow Shovels and Scrapers,https://fixit.com.bd/wp-content/uploads/2020/01/01-666A.jpg
16-353,15mm 5Pcs Packet Button Head Socket Cap Screw LN Screw,24,24,Tools and Hardware,Screws Nails and Anchors,,https://fixit.com.bd/wp-content/uploads/2020/01/16-353A.jpg
20-1462,60 Watt Clear Traditional Incandescent Bulb Superstar Brand 2 Pin Bayonet Install,28,29,Electrical,Light Bulbs,LED Light Bulbs,https://fixit.com.bd/wp-content/uploads/2020/01/20-1462A.jpg
28-108,50 gm Powder Ant Killing Bait,30,30,Lawn and Garden,Insect and Pest Control,Home and Perimeter Insect Control,https://fixit.com.bd/wp-content/uploads/2020/01/28-099A.jpg
26-3343,(2 Kg Capacity) 5 Pcs Pink People Adhesive Picture Hook (Sticks to Wall),30,31,Tools and Hardware,Fasteners,Picture and Mirror Hanging,https://fixit.com.bd/wp-content/uploads/2020/01/26-3343A.jpg
10-055,1.5 Inch Brown Color Synthetic/Chinese bristle Paint Brush Karigor Brand,42,42,Paint,Paint Supplies,Paint Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/10-055-web.jpg
26-2339,10 Inch Rounded Wooden Spoon,33,35,Kitchen,Cooking and Food Preparation,Ladles and Spoons,https://fixit.com.bd/wp-content/uploads/2020/01/26-2339b.jpg
26-168,1.5 Inch Plastic Compass,34,36,Tools and Hardware,Hand Tools,Compass,https://fixit.com.bd/wp-content/uploads/2020/01/26-168.jpg
05-404,501mm Golden &amp; Silver Color Furniture Knob,32,32,Tools and Hardware,Cabinet and Furniture Hardware,Knobs,https://fixit.com.bd/wp-content/uploads/2020/01/05-404A.jpg
16-013,1.5 Inch (12 Pcs Packet) Golden Color Round Hook Screw In Install,19,19,Storage and Organization,Home Storage Hooks,Hooks,https://fixit.com.bd/wp-content/uploads/2020/01/16-445-web.png
05-835,Antique Copper Color Furniture Knob HMBR Brand,37,39,Tools and Hardware,Cabinet and Furniture Hardware,Knobs,https://fixit.com.bd/wp-content/uploads/2020/01/05-835A.jpg
36-352,Metal Paper Binder Clip,30,30,Storage and Organization,Office Supplies,Office Fasteners,https://fixit.com.bd/wp-content/uploads/2020/01/36-352.jpg
20-331,Gray Color 1 Plug to 2 Jack Telephone Connector,35,35,Electrical,Dimmers Switches and Outlets,Plugs and Connectors|Electrical,https://fixit.com.bd/wp-content/uploads/2020/01/20-331A.jpg
19-571,1.25 Inch Diameter White Color Plastic Magic Hose Flexible PVC Pipe HMBR Brand,34,34,Plumbing,Plumbing Accessories,Hoses and Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/19-571A.jpg
26-691,Cotton Hand Gloves With Yellow Rubber Grip Dots for Welding  Masonry Electrical &amp; Other Heavy Duty Work,57,57,Tools and Hardware,Safety Gear and Equipment,Work Gloves,https://fixit.com.bd/wp-content/uploads/2020/01/26-691-web.jpg
36-382,Blue Color 2 in 1 Sharpener Eraser,19,19,Storage and Organization,Office Supplies,Erasers,https://fixit.com.bd/wp-content/uploads/2020/01/36-382A.jpg
36-383,Two Hole Pencil Sharpener,38,40,Storage and Organization,Office Supplies,Sharpeners,https://fixit.com.bd/wp-content/uploads/2020/01/36-383.jpg
20-565,40 Watt Traditional Candle Incandescent Bulb E27 Screw In Install,37,37,Electrical,Light Bulbs,LED Light Bulbs,https://fixit.com.bd/wp-content/uploads/2020/01/20-565.jpg
26-3342,2 Pcs Pack Pink & Yellow Steel Wool Sponge,43,45,Kitchen,Small Appliances,Scrubbers and Sponges,https://fixit.com.bd/wp-content/uploads/2020/01/26-3342A.jpg
26-3231,2 Inch Black and Blue Color Stainless Steel Fancy Nail Cutter Rimei Brand,46,48,Cleaning,Personal Care,Nail Care,https://fixit.com.bd/wp-content/uploads/2020/01/26-3231A.jpg
04-596,6mm Stainless Steel Bi-Hex ring & open Jaw dual Wrench Feibao Brand,48,50,Tools and Hardware,Hand Tools,Wrenches,https://fixit.com.bd/wp-content/uploads/2020/01/04-596A.jpg
16-910,1.5 Inch Metal Cable Rope / U-Bolt,48,50,Tools and Hardware,Wire Rope Fittings,Wire Rope Clips,https://fixit.com.bd/wp-content/uploads/2020/01/16-910A.jpg
01-383,4 Inch Flat Head Yellow Transparent Handle Screwdriver,46,46,Tools and Hardware,Hand Tools,Screwdrivers,https://fixit.com.bd/wp-content/uploads/2020/01/01-383A.jpg
29-029,0.5 Inch Masking Tape great for Painters,43,43,Storage and Organization,Office Supplies,Adhesives and Tape,https://fixit.com.bd/wp-content/uploads/2020/01/29-029-web.jpg
04-597,8mm Stainless Steel Bi-Hex ring & open Jaw dual Wrench Feibao Brand,52,55,Tools and Hardware,Hand Tools,Wrenches,https://fixit.com.bd/wp-content/uploads/2020/01/04-597A.jpg
04-598,9mm Stainless Steel Bi-Hex ring & open Jaw dual Wrench Feibao Brand,52,55,Tools and Hardware,Hand Tools,Wrenches,https://fixit.com.bd/wp-content/uploads/2020/01/04-598A.jpg
26-2213,200  ml Anti-Bacterial Hand Wash Freshtone Brand,52,55,Cleaning,Personal Care,Hand Soaps and Sanitizers,https://fixit.com.bd/wp-content/uploads/2020/01/26-2213A.jpg
33-006,Purple Color Plastic Rope for Tying Bags &amp; Packages,23,23,Tools and Hardware,Chain and Rope,Rope,https://fixit.com.bd/wp-content/uploads/2020/01/33-006-web.jpg
20-393,Yellow Color Plastic Handle Electric Tester,44,44,Electrical,Electrical Tools and Accessories,Electrical Test Meter,https://fixit.com.bd/wp-content/uploads/2020/01/20-393.jpg
18-022,Nurani Kachi Short Iron Sickle,65,65,Lawn and Garden,Garden Tools,Gardening Tools,https://fixit.com.bd/wp-content/uploads/2020/01/nurani-kachi.jpg
19-739,2.75  Inch Diameter White Color Plastic Magic Hose Flexible PVC Pipe HMBR Brand,56,59,Plumbing,Plumbing Accessories,Hoses and Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/19-739A.jpg
21-213,250 gm Synthetic Resin Adhesive Fevicol Brand For Use In Furniture Heat &amp; Water Resistant,90,90,Paint,Duct Tape Glues and Epoxy,Glues and Epoxy,https://fixit.com.bd/wp-content/uploads/2020/01/21-067A.jpg
04-599,10mm Stainless Steel Bi-Hex ring & open Jaw dual Wrench Feibao Brand,57,60,Tools and Hardware,Hand Tools,Wrenches,https://fixit.com.bd/wp-content/uploads/2020/01/04-599A.jpg
16-261,3.5 ft. Rubber Door Seal / Gasket Keep Out Smells &amp; Dirt from Room,67,67,Doors and Windows,Entry Doors,Door Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/16-261A.jpg
20-1208,16 Inch Size 5X400mm Off-White Color 24 Pcs Packet Cable Tie,57,60,Electrical,Electrical Tools and Accessories,Cable Tie,https://fixit.com.bd/wp-content/uploads/2020/01/20-1208A.jpg
26-3464,Cloth Brush with Plastic handle,57,60,Cleaning,Cleaning Tools and Supplies,Cloth Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/26-3464A.jpg
26-3960,Disposable Bamboo Stick for BBQ 3052 for great Shashliks & Kebabs,57,60,Kitchen,Small Appliances,Barbecue Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-3960A.jpg
25-052,Auto Closer 2.75 Inch Conceal Hinge HMBR brand,57,59,Tools and Hardware,Cabinet and Furniture Hardware,Hinges,https://fixit.com.bd/wp-content/uploads/2020/01/25-052A.jpg
