Sku,Title,Price,Regular Price,Sale Price,,Image,Product categories,Sub,Sub Sub
26-832,12 Volts High Voltage Battery Gp. Brand,143,143,,,https://fixit.com.bd/wp-content/uploads/2020/02/26-832.jpg,Electrical,Batteries,Household Batteries
01-389,6 Inch Flat Type Head Screwdriver Rubber Black and Yellow Color Handle HMBR Brand,88,88,,,https://fixit.com.bd/wp-content/uploads/2020/02/01-389.jpg,Tools and Hardware,Hand Tools,Screwdrivers
26-429,2 Pcs Packet 1.5 Volts AA Size Sony Super Battery,60,89,60,,https://fixit.com.bd/wp-content/uploads/2020/02/26-429.jpg,Electrical,Batteries,Household Batteries
26-2604,6 Inch Fruit Knife with Plastic Handle,100,105,100,,https://fixit.com.bd/wp-content/uploads/2020/02/26-2604.jpg,Tools and Hardware,Hand Tools,Knives and Blades
38-223,18 Inch Rubber &amp; Plastic Hand Saw HMBR Brand (Old Model)(Damage Product),92,92,,,https://fixit.com.bd/wp-content/uploads/2020/02/38-223.jpg,Tools and Hardware,Hand Tools,Hand Saws and Cutting Tools
12-198,10 Inch Wire Brush HMBR Brand,92,92,,,https://fixit.com.bd/wp-content/uploads/2020/02/12-198.jpg,Cleaning,Cleaning Tools and Supplies,Wire Brushes
12-241,6 Inch Multi-Color Plastic Floor Brush with Handle,96,96,,,https://fixit.com.bd/wp-content/uploads/2020/02/12-241.jpg,Cleaning,Cleaning Tools and Supplies,Floor Brushes
01-1221,7 Inch 12-250 Volt AC & DC Yellow Color Professional Digital Induction Tester Feibao Brand,105,110,105,,https://fixit.com.bd/wp-content/uploads/2020/02/01-1221.jpg,Electrical,Electrical Tools and Accessories,
33-109,7mm x 10 Meter Nylon rope HMBR Brand,106,112,106,,https://fixit.com.bd/wp-content/uploads/2020/02/33-109.jpg,Tools and Hardware,Chain and Rope,Rope
26-125,360ml Glass &amp; Household Cleaner Spray Whit Brand,100,100,,,https://fixit.com.bd/wp-content/uploads/2020/02/26-125.jpg,Cleaning,Household Cleaners,Glass and Window Cleaners
26-2988,1.5 Volts Battery LR Brand,110,116,110,,https://fixit.com.bd/wp-content/uploads/2020/02/26-2988.jpg,Electrical,Batteries,Household Batteries
25-097,4 Inch  x 3mm  Stainless Steel Iron Metal Door Hinge HMBR Brand,101,101,,,https://fixit.com.bd/wp-content/uploads/2020/02/25-097.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Hinges
12-233,4 Inch Pink Color Cloth Brush,114,120,114,,https://fixit.com.bd/wp-content/uploads/2020/02/12-233.jpg,Cleaning,Cleaning Tools and Supplies,Cloth Brushes
20-1399,15 Ampere 250 Volt White Color 3 Round Pin Multi Plug Single Inlet,114,120,114,,https://fixit.com.bd/wp-content/uploads/2020/02/20-1399.jpg,Electrical,Switches and Outlets,Sockets
26-2340,10 Inch light Mahogany Wooden Spoon,114,120,114,,https://fixit.com.bd/wp-content/uploads/2020/02/26-2340.jpg,Kitchen,Cooking and Food Preparation,Ladles and Spoons
26-1930,Cake Mould Food Shapes Great for Gingerbread Pitha and Cake cutouts,105,105,,,https://fixit.com.bd/wp-content/uploads/2020/02/26-1930.jpg,Kitchen,Cooking and Food Preparation,Bakeware
26-057,750ml Liquid Toilet Cleaner Harpic Brand,120,130,120,,https://fixit.com.bd/wp-content/uploads/2020/02/26-057.jpg,Cleaning,Household Cleaners,Toilet Cleaners
26-1501,8 Inch Stainless Steel Cake Server,162,162,,,https://fixit.com.bd/wp-content/uploads/2020/02/26-1501.jpg,Tools and Hardware,Hand Tools,Knives and Blades
26-2858,75  ml Black Color Shoe Polish,121,127,121,,https://fixit.com.bd/wp-content/uploads/2020/02/26-2858.jpg,Cleaning,Cleaning Tools and Supplies,Shoe Polish
26-3058,White Color Multifunctional Brush Sunee Brand Plastic Bristle,122,128,122,,https://fixit.com.bd/wp-content/uploads/2020/02/26-3058.jpg,Cleaning,Cleaning Tools and Supplies,Cloth Brushes
31-151,Black Color Plastic Caster Wheel,111,111,,,https://fixit.com.bd/wp-content/uploads/2020/02/31-151.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Casters
01-090,6 Inch Flat Head Screwdriver Black Color Handle LANCER Brand,114,114,,,https://fixit.com.bd/wp-content/uploads/2020/02/01-090.jpg,Tools and Hardware,Hand Tools,Screwdrivers
04-021,17mm Stainless Steel L Socket Wrench HMBR Brand,114,114,,,https://fixit.com.bd/wp-content/uploads/2020/02/04-021.jpg,Tools and Hardware,Hand Tools,Sockets and Ratchets
