id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
fixit-15010_12083,"250mm- 10 Inch Adjustable Wrench Tolsen Brand 15010","• Chrome finish• Two-component plastic handle• Packing: plastic hanger",https://fixit.com.bd/wp-content/uploads/2020/01/6248d0f8a35e460267a4e9bc06cdc039a744fcea.jpg,https://fixit.com.bd/product/250mm-10-inch-adjustable-wrench-tolsen-brand-15010/,"Adjustable Wrenches, Hand Tools, Tools and Hardware","fixit.com.bd",620BDT,in stock,fixit-15010_12083,https://fixit.com.bd/cart/?add-to-cart=12083,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,558BDT,new,published,,
fixit-15011_12084,"300mm-12 Inch Adjustable Wrench Tolsen Brand 15011","Features: 
 
  Model: 15011 
  Size: 300mm,12 Inch. 
  Max Jaws Opening: 35mm, 1-3/8 Inch. 
  Professional Quality at affordable prices. 
  Chrome finish. 
  Two-component plastic handle.",https://fixit.com.bd/wp-content/uploads/2020/01/6248d0f8a35e460267a4e9bc06cdc039a744fcea.jpg,https://fixit.com.bd/product/300mm-12-inch-adjustable-wrench-tolsen-brand-15011/,"Adjustable Wrenches, Hand Tools, Tools and Hardware","fixit.com.bd",806BDT,in stock,fixit-15011_12084,https://fixit.com.bd/cart/?add-to-cart=12084,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,725BDT,new,published,,
fixit-15014_12085,"6mm Combination Spanner Tolsen Brand 15014","• CrV• Chrome plated satin finish• Packing: flag label ",https://fixit.com.bd/wp-content/uploads/2020/01/91793e97c705bf8bab8c06b28fe7145ca7c58507.jpg,https://fixit.com.bd/product/6mm-combination-spanner-tolsen-brand-15014/,"Combination Spanner, Hand Tools, Tools and Hardware","fixit.com.bd",93BDT,in stock,fixit-15014_12085,https://fixit.com.bd/cart/?add-to-cart=12085,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,84BDT,new,published,,
fixit-10067_12046,"200mm- 8 Inch Pipe Wrench Tolsen Brand 10067","• Mobile jaw drop-forged with high quality CrMo steel• Dipped handle• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/10067-1.jpg,https://fixit.com.bd/product/200mm-8-inch-pipe-wrench-tolsen-brand-10067/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",434BDT,in stock,fixit-10067_12046,https://fixit.com.bd/cart/?add-to-cart=12046,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,391BDT,new,published,,
fixit-10068_12047,"250mm- 10 Inch Pipe Wrench Tolsen Brand 10068","• Mobile jaw drop-forged with high quality CrMo steel• Dipped handle• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/10067-1.jpg,https://fixit.com.bd/product/250mm-10-inch-pipe-wrench-tolsen-brand-10068/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",543BDT,in stock,fixit-10068_12047,https://fixit.com.bd/cart/?add-to-cart=12047,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,489BDT,new,published,,
fixit-10069_12048,"300mm- 12 Inch Pipe Wrench Tolsen Brand 10069","• Mobile jaw drop-forged with high quality CrMo steel• Dipped handle• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/10067-1.jpg,https://fixit.com.bd/product/300mm-12-inch-pipe-wrench-tolsen-brand-10069/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",698BDT,in stock,fixit-10069_12048,https://fixit.com.bd/cart/?add-to-cart=12048,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,628BDT,new,published,,
fixit-10070_12049,"350mm- 14' Pipe Wrench Tolsen Brand 10070","• Mobile jaw drop-forged with high quality CrMo steel• Dipped handle• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/10067-1.jpg,https://fixit.com.bd/product/350mm-14-pipe-wrench-tolsen-brand-10070/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",775BDT,in stock,fixit-10070_12049,https://fixit.com.bd/cart/?add-to-cart=12049,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,698BDT,new,published,,
fixit-10071_12050,"450mm- 18 Inch Pipe Wrench Tolsen Brand 10071","• Mobile jaw drop-forged with high quality CrMo steel• Dipped handle• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/10067-1.jpg,https://fixit.com.bd/product/450mm-18-inch-pipe-wrench-tolsen-brand-10071/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",1163BDT,in stock,fixit-10071_12050,https://fixit.com.bd/cart/?add-to-cart=12050,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1047BDT,new,published,,
fixit-10072_12051,"600mm- 24 Inch Pipe Wrench Tolsen Brand 10072","• Mobile jaw drop-forged with high quality CrMo steel• Dipped handle• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/10067-1.jpg,https://fixit.com.bd/product/600mm-24-inch-pipe-wrench-tolsen-brand-10072/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",1628BDT,in stock,fixit-10072_12051,https://fixit.com.bd/cart/?add-to-cart=12051,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1465BDT,new,published,,
fixit-10073_12052,"900mm- 36 Inch Pipe Wrench Tolsen Brand 10073","• Mobile jaw drop-forged with high quality CrMo steel• Dipped handle• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/10067-1.jpg,https://fixit.com.bd/product/900mm-36-inch-pipe-wrench-tolsen-brand-10073/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",3100BDT,in stock,fixit-10073_12052,https://fixit.com.bd/cart/?add-to-cart=12052,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2790BDT,new,published,,
fixit-10221_12053,"250mm- 10 Inch Pipe Wrench Tolsen Brand 10221","• Mobile jaw drop-forged with high quality CrMo steel• Aluminium alloy body• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/79256df0134a86d8e8a5efa82e93d18b1781fc7a.jpg,https://fixit.com.bd/product/250mm-10-inch-pipe-wrench-tolsen-brand-10221/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",853BDT,in stock,fixit-10221_12053,https://fixit.com.bd/cart/?add-to-cart=12053,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,768BDT,new,published,,
fixit-10222_12054,"300mm- 12 Inch Pipe Wrench Tolsen Brand 10222","• Mobile jaw drop-forged with high quality CrMo steel• Aluminium alloy body• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/79256df0134a86d8e8a5efa82e93d18b1781fc7a.jpg,https://fixit.com.bd/product/300mm-12-inch-pipe-wrench-tolsen-brand-10222/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",1054BDT,in stock,fixit-10222_12054,https://fixit.com.bd/cart/?add-to-cart=12054,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,949BDT,new,published,,
fixit-10223_12055,"350mm- 14' Pipe Wrench Tolsen Brand 10223","• Mobile jaw drop-forged with high quality CrMo steel• Aluminium alloy body• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/79256df0134a86d8e8a5efa82e93d18b1781fc7a.jpg,https://fixit.com.bd/product/350mm-14-pipe-wrench-tolsen-brand-10223/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",1318BDT,in stock,fixit-10223_12055,https://fixit.com.bd/cart/?add-to-cart=12055,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1186BDT,new,published,,
fixit-10224_12056,"450mm- 18 Inch Pipe Wrench Tolsen Brand 10224","• Mobile jaw drop-forged with high quality CrMo steel• Aluminium alloy body• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/79256df0134a86d8e8a5efa82e93d18b1781fc7a.jpg,https://fixit.com.bd/product/450mm-18-inch-pipe-wrench-tolsen-brand-10224/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",1628BDT,in stock,fixit-10224_12056,https://fixit.com.bd/cart/?add-to-cart=12056,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1465BDT,new,published,,
fixit-10225_12057,"600mm- 24 Inch Pipe Wrench Tolsen Brand 10225","• Mobile jaw drop-forged with high quality CrMo steel• Aluminium alloy body• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/79256df0134a86d8e8a5efa82e93d18b1781fc7a.jpg,https://fixit.com.bd/product/600mm-24-inch-pipe-wrench-tolsen-brand-10225/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",2945BDT,in stock,fixit-10225_12057,https://fixit.com.bd/cart/?add-to-cart=12057,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2651BDT,new,published,,
fixit-10226_12058,"900mm- 36 Inch Pipe Wrench Tolsen Brand 10226","• Mobile jaw drop-forged with high quality CrMo steel• Aluminium alloy body• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/79256df0134a86d8e8a5efa82e93d18b1781fc7a.jpg,https://fixit.com.bd/product/900mm-36-inch-pipe-wrench-tolsen-brand-10226/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",4495BDT,in stock,fixit-10226_12058,https://fixit.com.bd/cart/?add-to-cart=12058,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,4046BDT,new,published,,
fixit-10227_12059,"1200mm- 48 Inch Pipe Wrench Tolsen Brand 10227","• Mobile jaw drop-forged with high quality CrMo steel• Aluminium alloy body• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/79256df0134a86d8e8a5efa82e93d18b1781fc7a.jpg,https://fixit.com.bd/product/1200mm-48-inch-pipe-wrench-tolsen-brand-10227/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",9610BDT,in stock,fixit-10227_12059,https://fixit.com.bd/cart/?add-to-cart=12059,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,8649BDT,new,published,,
fixit-10231_12060,"200mm- 8 Inch Pipe Wrench Tolsen Brand 10231","• Mobile jaw drop-forged with high quality carbon steel• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/ef036568a585c4eb9504adbeadc0b087bbb0feda.jpg,https://fixit.com.bd/product/200mm-8-inch-pipe-wrench-tolsen-brand-10231/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",326BDT,in stock,fixit-10231_12060,https://fixit.com.bd/cart/?add-to-cart=12060,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,293BDT,new,published,,
fixit-10232_12061,"250mm- 10 Inch Pipe Wrench Tolsen Brand 10232","• Mobile jaw drop-forged with high quality carbon steel• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/ef036568a585c4eb9504adbeadc0b087bbb0feda.jpg,https://fixit.com.bd/product/250mm-10-inch-pipe-wrench-tolsen-brand-10232/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",434BDT,in stock,fixit-10232_12061,https://fixit.com.bd/cart/?add-to-cart=12061,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,391BDT,new,published,,
fixit-10233_12062,"300mm- 12 Inch Pipe Wrench Tolsen Brand 10233","• Mobile jaw drop-forged with high quality carbon steel• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/ef036568a585c4eb9504adbeadc0b087bbb0feda.jpg,https://fixit.com.bd/product/300mm-12-inch-pipe-wrench-tolsen-brand-10233/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",527BDT,in stock,fixit-10233_12062,https://fixit.com.bd/cart/?add-to-cart=12062,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,474BDT,new,published,,
fixit-10234_12063,"350mm- 14' Pipe Wrench Tolsen Brand 10234","• Mobile jaw drop-forged with high quality carbon steel• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/ef036568a585c4eb9504adbeadc0b087bbb0feda.jpg,https://fixit.com.bd/product/350mm-14-pipe-wrench-tolsen-brand-10234/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",651BDT,in stock,fixit-10234_12063,https://fixit.com.bd/cart/?add-to-cart=12063,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,586BDT,new,published,,
fixit-10235_12064,"450mm- 18 Inch Pipe Wrench Tolsen Brand 10235","• Mobile jaw drop-forged with high quality carbon steel• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/ef036568a585c4eb9504adbeadc0b087bbb0feda.jpg,https://fixit.com.bd/product/450mm-18-inch-pipe-wrench-tolsen-brand-10235/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",899BDT,in stock,fixit-10235_12064,https://fixit.com.bd/cart/?add-to-cart=12064,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,809BDT,new,published,,
fixit-10236_12065,"600mm- 24 Inch Pipe Wrench Tolsen Brand 10236","• Mobile jaw drop-forged with high quality carbon steel• Packing: hang tag with drawing box",https://fixit.com.bd/wp-content/uploads/2020/01/ef036568a585c4eb9504adbeadc0b087bbb0feda.jpg,https://fixit.com.bd/product/600mm-24-inch-pipe-wrench-tolsen-brand-10236/,"Hand Tools, Pipe Wrenches, Tools and Hardware","fixit.com.bd",1271BDT,in stock,fixit-10236_12065,https://fixit.com.bd/cart/?add-to-cart=12065,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1144BDT,new,published,,
fixit-10000_12026,"160mm- 6 Inch Combination Pliers Tolsen Brand 10000","• Forged steel nickel finish• Two-component plastic handle• Packing: blister card",https://fixit.com.bd/wp-content/uploads/2020/01/0bb96f906ed45f37625a2da5f9e2d3d9c3261f0b.jpg,https://fixit.com.bd/product/160mm-6-inch-combination-pliers-tolsen-brand-10000/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",264BDT,in stock,fixit-10000_12026,https://fixit.com.bd/cart/?add-to-cart=12026,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,238BDT,new,published,,
14-263_12027,"180mm- 7 Inch Combination Pliers Tolsen Brand 10001","• Forged steel nickel finish• Two-component plastic handle• Packing: blister card",https://fixit.com.bd/wp-content/uploads/2020/01/0bb96f906ed45f37625a2da5f9e2d3d9c3261f0b.jpg,https://fixit.com.bd/product/180mm-7-inch-combination-pliers-tolsen-brand-10001/,"Hand Tools, Pliers, Tools and Hardware","fixit.com.bd",295BDT,in stock,14-263_12027,https://fixit.com.bd/cart/?add-to-cart=12027,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,266BDT,new,published,,
